Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote
Brazil,12 000 ,5600 , 19 000,,15 000 ,6800 , 23 000,,17 000 ,8100 , 27 000,,20 000 ,9400 , 31 000,,23 000 ,11 000 , 35 000,,26 000 ,12 000 , 39 000,,28 000 ,13 000 , 43 000,,20 000 ,9500 , 31 000,,16 000 ,7600 , 24 000,,16 000 ,7300 , 23 000,,15 000 ,7300 , 23 000,,15 000 ,7100 , 23 000,,15 000 ,7100 , 23 000,,15 000 ,7300 , 23 000,,16 000 ,7300 , 24 000,,16 000 ,7400 , 24 000,,16 000 ,7500 , 25 000,,16 000 ,7400 , 24 000,,16 000 ,7300 , 24 000,,16 000 ,7200 , 25 000,,15 000 ,6700 , 23 000,,16 000 ,6900 , 24 000,,16 000 ,6900 , 24 000,,16 000 ,7100 , 24 000,,16 000 ,7200 , 25 000,,16 000 ,7200 , 25 000,,15 000 ,6900 , 23 000,,14 000 ,6500 , 22 000,,14 000 ,6400 , 21 000,,14 000 ,6300 , 21 000,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Burkina Faso,4800 ,2700 , 8500,,5800 ,3300 , 9900,,6800 ,4000 , 11 000,,7900 ,4700 , 12 000,,8900 ,5400 , 13 000,,9800 ,6300 , 14 000,,11 000 ,7100 , 15 000,,11 000 ,7800 , 15 000,,12 000 ,8400 , 15 000,,12 000 ,9100 , 15 000,,12 000 ,9500 , 15 000,,12 000 ,9900 , 14 000,,12 000 ,10 000 , 14 000,,12 000 ,9900 , 14 000,,11 000 ,9100 , 13 000,,9500 ,7900 , 11 000,,8100 ,6600 , 9900,,6900 ,5600 , 8800,,6500 ,5100 , 8300,,5800 ,4500 , 7400,,5000 ,3700 , 6600,,4600 ,3400 , 6000,,4200 ,3100 , 5600,,4300 ,3200 , 5800,,4500 ,3200 , 5900,,4200 ,3100 , 5600,,4100 ,3000 , 5500,,3800 ,2800 , 5000,,3400 ,2400 , 4400,,3100 ,2300 , 4100,
Burundi,5300 ,2000 , 12 000,,6500 ,2600 , 13 000,,7600 ,3200 , 14 000,,8700 ,4000 , 15 000,,9700 ,4800 , 15 000,,11 000 ,5700 , 16 000,,11 000 ,6600 , 16 000,,12 000 ,7300 , 15 000,,12 000 ,8000 , 15 000,,12 000 ,8600 , 14 000,,12 000 ,9100 , 14 000,,12 000 ,9200 , 14 000,,11 000 ,9200 , 13 000,,11 000 ,9200 , 13 000,,10 000 ,8700 , 12 000,,9200 ,7500 , 11 000,,8300 ,6700 , 9800,,7800 ,6400 , 9500,,7000 ,5700 , 8600,,6100 ,5000 , 7700,,5400 ,4300 , 6900,,4500 ,3500 , 5900,,4000 ,3000 , 5300,,3600 ,2700 , 4700,,3500 ,2700 , 4700,,3200 ,2400 , 4300,,2700 ,2000 , 3700,,2300 ,1800 , 3100,,2000 ,1500 , 2700,,1800 ,1400 , 2400,
Cabo Verde,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Cambodia,<100 ,<100 , <100,,<100 ,<100 , <200,,<500 ,<200 , <500,,<1000 ,<500 , <1000,,1200 ,<1000 , 1500,,2100 ,1300 , 2700,,3100 ,2000 , 4100,,4500 ,3000 , 6000,,5900 ,4100 , 7800,,7300 ,5300 , 9400,,8500 ,6600 , 11 000,,9400 ,7600 , 11 000,,9900 ,8200 , 12 000,,9800 ,8300 , 11 000,,8700 ,7500 , 9800,,7200 ,6100 , 8100,,5600 ,4700 , 6500,,4600 ,3700 , 5800,,3900 ,3000 , 5200,,3500 ,2700 , 4900,,2900 ,2200 , 4200,,2400 ,1800 , 3600,,2200 ,1600 , 3400,,2200 ,1500 , 3300,,2100 ,1500 , 3300,,2000 ,1400 , 3100,,1800 ,1300 , 2800,,1600 ,1200 , 2500,,1500 ,1100 , 2100,,1300 ,<1000 , 1900,
Cameroon,1300 ,<1000 , 1900,,1900 ,1100 , 2600,,2600 ,1700 , 3600,,3600 ,2300 , 4900,,4800 ,3300 , 6500,,6400 ,4500 , 8600,,8300 ,5900 , 11 000,,10 000 ,7500 , 14 000,,13 000 ,9400 , 17 000,,16 000 ,12 000 , 20 000,,19 000 ,14 000 , 23 000,,21 000 ,17 000 , 27 000,,24 000 ,19 000 , 30 000,,27 000 ,22 000 , 33 000,,28 000 ,23 000 , 34 000,,26 000 ,21 000 , 31 000,,25 000 ,21 000 , 30 000,,26 000 ,22 000 , 31 000,,24 000 ,20 000 , 28 000,,23 000 ,20 000 , 26 000,,22 000 ,19 000 , 25 000,,22 000 ,19 000 , 25 000,,22 000 ,19 000 , 25 000,,22 000 ,20 000 , 25 000,,24 000 ,22 000 , 27 000,,25 000 ,22 000 , 27 000,,23 000 ,21 000 , 25 000,,20 000 ,18 000 , 22 000,,16 000 ,14 000 , 18 000,,14 000 ,12 000 , 16 000,
Canada,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Central African Republic,1200 ,<1000 , 2000,,1800 ,1100 , 2900,,2500 ,1600 , 3900,,3300 ,2200 , 5300,,4300 ,2800 , 6600,,5400 ,3600 , 7900,,6400 ,4500 , 9300,,7500 ,5400 , 11 000,,8500 ,6200 , 12 000,,9300 ,6900 , 12 000,,10 000 ,7600 , 13 000,,11 000 ,8100 , 14 000,,11 000 ,8600 , 14 000,,11 000 ,8900 , 14 000,,11 000 ,9200 , 13 000,,11 000 ,9200 , 13 000,,11 000 ,8800 , 12 000,,9900 ,8200 , 12 000,,8500 ,7100 , 10 000,,6900 ,5700 , 8300,,6800 ,5500 , 8200,,6800 ,5500 , 8200,,7100 ,5700 , 8500,,6900 ,5700 , 8500,,6700 ,5500 , 8200,,5500 ,4400 , 6900,,4600 ,3600 , 5900,,4100 ,3000 , 5400,,4100 ,3000 , 5600,,3800 ,2700 , 5200,
Chad,1300 ,<1000 , 2600,,1700 ,<1000 , 3200,,2100 ,1100 , 3900,,2600 ,1400 , 4700,,3100 ,1800 , 5500,,3700 ,2300 , 6200,,4200 ,2700 , 6900,,4800 ,3100 , 7500,,5300 ,3600 , 8100,,5800 ,4000 , 8700,,6300 ,4400 , 9100,,6800 ,4900 , 9500,,7100 ,5200 , 9900,,7500 ,5600 , 10 000,,7600 ,5800 , 10 000,,7500 ,5800 , 10 000,,7000 ,5500 , 9100,,5900 ,4500 , 7800,,5400 ,4100 , 7100,,4300 ,3200 , 5700,,3800 ,2800 , 5100,,3500 ,2600 , 4700,,3400 ,2400 , 4700,,3400 ,2400 , 4700,,3400 ,2300 , 4700,,3400 ,2300 , 4600,,3200 ,2200 , 4300,,3000 ,2000 , 4100,,3100 ,2000 , 4500,,3200 ,2100 , 4700,
Chile,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,<500 ,<100 , 1900,,<1000 ,<200 , 2200,,<1000 ,<500 , 2600,,1400 ,<500 , 3200,,1900 ,<500 , 3500,,2500 ,<1000 , 4100,,3200 ,1000 , 4700,,3900 ,1400 , 5600,,4700 ,2000 , 6300,,5400 ,2500 , 7200,,6100 ,3200 , 7700,,6500 ,4000 , 8200,,6400 ,4200 , 8000,,6400 ,4700 , 8100,,6500 ,5100 , 8200,,6700 ,5200 , 8400,,6600 ,5200 , 8300,,5200 ,4000 , 6600,,5100 ,3900 , 6800,,6400 ,5000 , 8400,,7400 ,5900 , 9500,,6200 ,4900 , 8000,,4800 ,3700 , 6300,,4400 ,3200 , 5900,,4100 ,2900 , 5600,,3700 ,2600 , 5300,,3300 ,2300 , 4800,,3300 ,2100 , 4900,,3700 ,2300 , 5800,,4100 ,2500 , 6400,
Comoros,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Congo,1300 ,<1000 , 2000,,1800 ,1100 , 2700,,2300 ,1400 , 3400,,2800 ,1800 , 4000,,3300 ,2200 , 4700,,3800 ,2700 , 5300,,4300 ,3100 , 5900,,4800 ,3500 , 6300,,5200 ,3900 , 6700,,5500 ,4200 , 7000,,5800 ,4500 , 7200,,6000 ,4700 , 7200,,6100 ,4900 , 7200,,6100 ,5100 , 7200,,6200 ,5200 , 7100,,6100 ,5200 , 7000,,5300 ,4500 , 6100,,5400 ,4600 , 6200,,4900 ,4200 , 5700,,4000 ,3400 , 4700,,3800 ,3100 , 4500,,3700 ,3000 , 4400,,3500 ,2700 , 4200,,3900 ,3100 , 4800,,4200 ,3300 , 5100,,4500 ,3500 , 5500,,4100 ,3100 , 5000,,4100 ,3000 , 5100,,4300 ,3200 , 5600,,4500 ,3200 , 6100,
